鄉鎮市區,交易年月日,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,單價元平方公尺,縣市,住宅面積,屋齡_ADD,X,Y,移轉層次_ADD,總樓層數_ADD
淡水區,1080316,住宅大樓(11層含以上有電梯),1,2,1,71399,新北市,98.040,1,295100.512,2786228.893,10,15
淡水區,1080420,住宅大樓(11層含以上有電梯),1,2,1,70888,新北市,97.760,1,295100.512,2786228.893,14,15
淡水區,1080811,住宅大樓(11層含以上有電梯),1,2,1,69359,新北市,98.040,1,295100.512,2786228.893,13,15
淡水區,1080331,住宅大樓(11層含以上有電梯),2,2,2,74779,新北市,127.710,1,295100.512,2786228.893,13,15
淡水區,1080713,住宅大樓(11層含以上有電梯),2,2,2,72862,新北市,128.050,1,295100.512,2786228.893,11,15
淡水區,1080901,住宅大樓(11層含以上有電梯),2,2,2,71847,新北市,128.050,1,295100.512,2786228.893,8,15
淡水區,1081006,住宅大樓(11層含以上有電梯),2,2,2,71847,新北市,128.050,1,295100.512,2786228.893,7,15
淡水區,1080814,住宅大樓(11層含以上有電梯),3,2,2,60287,新北市,142.650,4,293457.082,2786570.984,6,24
淡水區,1080506,住宅大樓(11層含以上有電梯),1,2,1,69331,新北市,73.560,13,294856.413,2786137.335,9,13
淡水區,1080113,住宅大樓(11層含以上有電梯),2,2,1,58110,新北市,91.549,11,295075.882,2786221.282,13,15
淡水區,1080310,住宅大樓(11層含以上有電梯),2,2,1,58580,新北市,87.060,10,294865.756,2786231.018,4,15
淡水區,1080722,住宅大樓(11層含以上有電梯),0,0,0,58192,新北市,67.020,3,292922.495,2787557.810,12,19
淡水區,1080122,住宅大樓(11層含以上有電梯),2,1,1,56471,新北市,100.760,3,292922.495,2787557.810,3,19
淡水區,1080707,住宅大樓(11層含以上有電梯),2,1,1,58157,新北市,100.590,3,292922.495,2787557.810,10,19
淡水區,1080825,住宅大樓(11層含以上有電梯),2,1,1,64519,新北市,100.590,3,292922.495,2787557.810,18,19
淡水區,1080707,住宅大樓(11層含以上有電梯),0,0,0,56434,新北市,112.520,3,292806.658,2787602.071,12,13
淡水區,1080423,住宅大樓(11層含以上有電梯),0,0,0,57382,新北市,77.550,3,292811.601,2787577.890,10,13
淡水區,1080223,住宅大樓(11層含以上有電梯),0,0,0,59311,新北市,78.400,3,292811.601,2787577.890,9,13
淡水區,1080225,住宅大樓(11層含以上有電梯),0,0,0,56760,新北市,78.400,3,292811.601,2787577.890,11,13
淡水區,1080305,住宅大樓(11層含以上有電梯),0,0,0,59221,新北市,78.520,3,292811.601,2787577.890,11,13
淡水區,1080503,住宅大樓(11層含以上有電梯),0,0,0,58123,新北市,112.520,3,292811.601,2787577.890,12,13
淡水區,1080724,住宅大樓(11層含以上有電梯),0,0,0,56960,新北市,112.360,3,292811.601,2787577.890,10,13
淡水區,1080612,住宅大樓(11層含以上有電梯),2,1,2,55938,新北市,111.730,2,292992.348,2787522.804,13,15
淡水區,1080826,住宅大樓(11層含以上有電梯),2,1,2,63994,新北市,111.730,2,292992.348,2787522.804,9,15
淡水區,1080826,住宅大樓(11層含以上有電梯),2,1,2,56028,新北市,111.730,2,292992.348,2787522.804,14,15
淡水區,1080508,住宅大樓(11層含以上有電梯),3,2,2,53469,新北市,140.830,2,292992.348,2787522.804,4,15
淡水區,1080813,住宅大樓(11層含以上有電梯),2,2,1,49685,新北市,93.590,2,293018.831,2787482.563,2,15
淡水區,1080327,住宅大樓(11層含以上有電梯),3,2,2,52194,新北市,131.240,2,293018.831,2787482.563,6,15
淡水區,1080215,住宅大樓(11層含以上有電梯),3,2,2,57844,新北市,132.770,2,294054.343,2787122.234,2,15
淡水區,1080924,住宅大樓(11層含以上有電梯),4,2,3,50920,新北市,217.990,7,294901.791,2787189.069,7,14
淡水區,1080701,住宅大樓(11層含以上有電梯),3,2,2,70896,新北市,122.010,2,294138.930,2787563.149,10,29
淡水區,1080825,住宅大樓(11層含以上有電梯),2,2,1,60735,新北市,93.850,3,294015.163,2787763.717,6,27
淡水區,1080701,住宅大樓(11層含以上有電梯),3,2,2,75931,新北市,117.870,3,294015.163,2787763.717,27,27
淡水區,1080714,住宅大樓(11層含以上有電梯),2,2,1,56779,新北市,88.060,3,294009.392,2787709.126,12,27
淡水區,1080709,住宅大樓(11層含以上有電梯),2,1,1,74849,新北市,107.550,3,294058.420,2787678.100,27,27
淡水區,1080524,住宅大樓(11層含以上有電梯),3,2,2,65294,新北市,119.000,3,294058.420,2787678.100,12,27
淡水區,1080729,住宅大樓(11層含以上有電梯),2,2,1,64882,新北市,97.100,3,294099.016,2787746.515,14,27
淡水區,1080619,華廈(10層含以下有電梯),3,2,1,67609,新北市,135.780,7,294195.780,2786249.910,8,8
淡水區,1080424,華廈(10層含以下有電梯),3,2,2,71626,新北市,134.029,7,294112.966,2786274.517,1,8
淡水區,1080504,住宅大樓(11層含以上有電梯),3,2,2,91917,新北市,142.520,8,294360.674,2786793.350,12,14
淡水區,1080507,住宅大樓(11層含以上有電梯),4,2,2,79165,新北市,190.739,4,293939.641,2786859.330,4,18
淡水區,1080214,住宅大樓(11層含以上有電梯),0,0,0,77970,新北市,302.680,4,293939.641,2786859.330,5,27
淡水區,1080410,住宅大樓(11層含以上有電梯),2,2,1,65376,新北市,97.130,3,293773.768,2786998.651,13,14
淡水區,1080313,住宅大樓(11層含以上有電梯),3,2,2,73171,新北市,127.100,3,293773.768,2786998.651,10,15
